Total_quant,bid_diff,avg_diff,Bid_quant,Month,Year
130888,,-7.36,0,1,2015
111913,,-7.34,0,2,2015
131038,-3.49,-6.11,57000,3,2015
141014,-3.5,-6.15,57000,4,2015
148981,-3.47,-6.18,57000,5,2015
149843,-13.06,-8.84,57000,6,2015
153376,-9.49,-7.86,57000,7,2015
152477,-10.74,-8.2,57000,8,2015
152616,-7.28,-7.26,57000,9,2015
145314,-4.22,-6.03,96550,10,2015
140816,-8.44,-7.7,96550,11,2015
141414,,-7.18,0,12,2015
267442,,-11.99,0,1,2016
185298,,-11.51,0,2,2016
209125,-125.55,-49.29,105000,3,2016
207714,-147.93,-67.2,145000,4,2016
226582,-133.28,-57.64,140000,5,2016
224641,-93.9,-48.57,187000,6,2016
233541,-58.87,-36.44,266000,7,2016
238593,-43.38,-30.36,355000,8,2016
247884,-37.42,-27.32,400000,9,2016
239446,,-11.04,0,10,2016
255878,,-11.07,0,11,2016
261742,,-11.1,0,12,2016
639096,,-64.74,0,1,2017
476384,-145.5,-81.5,129912,2,2017
614634,-189.45,-96.69,216441,3,2017
672825,-101.5,-72.81,202657,4,2017
715148,-45,-59.49,246376,5,2017
736292,-48.15,-60.47,248057,6,2017
764805,-115,-78.33,282033,7,2017
758898,-40.5,-57.5,324902,8,2017
746975,-42.6,-57.51,355223,9,2017
731422,-65,-64.59,395018,10,2017
699779,-37,-54.25,412213,11,2017
715490,-39.45,-55.73,382952,12,2017
807841,-36.5,-64.29,351581,1,2018
483812,-46.5,-64.53,324078,2,2018
803486,-41.5,-64.47,427345,3,2018
883347,-43.95,-66.68,389895,4,2018
996515,-42,-67.42,363422,5,2018
978427,-39.3,-65.31,426843,6,2018
1040094,-43.35,-67.01,425031,7,2018
1028903,-41.05,-66.14,432293,8,2018
1010793,-42,-66.03,441895,9,2018
986788,-37,-64.92,411789,10,2018
945886,-34.75,-63.83,415432,11,2018
979599,-34.5,-64.96,369617,12,2018
921285,-35.05,-41.28,434524,1,2019
666163,-37.2,-42.17,285516,2,2019
1027366,-34.05,-40.93,489202,3,2019
1097838,-28.8,-39.59,461701,4,2019
1173587,-29.3,-39.36,552917,5,2019
1248617,-30.95,-40.39,497276,6,2019
1299529,-30.5,-40.43,486473,7,2019
1340386,-29.95,-40.45,468202,8,2019
1315807,-29.5,-40.02,509991,9,2019
972196,-29,-39.7,406541,10,2019
1261859,-27.95,-39.62,495254,11,2019
1272149,-26.95,-39.64,455570,12,2019
1224682,-35,-45.44,179778,1,2020
1330778,-34.25,-44.68,297145,2,2020
1756867,-34.95,-46.69,48882,3,2020
1823201,-32.5,-46.24,106951,4,2020
1921876,-34,-46.29,120414,5,2020
1902416,-29.5,-45.14,230465,6,2020
2040890,-30,-45.11,268570,7,2020
2011821,-130,-50.17,78895,8,2020
1891278,-29,-43.2,521881,9,2020
1910761,-27.45,-43.33,469675,10,2020
1862866,-30.5,-43.67,509180,11,2020
1943326,-40.05,-46.12,432635,12,2020
1504925,-31.4,-46.68,735584,1,2021
1064370,-40.1,-51.88,393565,2,2021
1765081,-30.9,-47.75,604045,3,2021
1811091,-29.7,-47.25,639206,4,2021
1912567,-39.95,-50.69,496792,5,2021
1908171,-19.1,-43.15,819318,6,2021
2618942,-18,-46.16,223795,7,2021
2441648,-2.5,-41.55,375736,8,2021
2277818,0,-40.83,365358,9,2021
1944189,45.3,-40.62,287029,10,2021
1875542,554,-47.8,13954,11,2021
1859229,554,-52.29,1650,12,2021
1964839,,499.4,0,1,2022
1566993,,497.79,0,2,2022
2417332,,500.42,0,3,2022
2377706,,500.27,0,4,2022
,,,,5,2022
,,,,6,2022
,,,,7,2022
,,,,8,2022
,,,,9,2022
,,,,10,2022
,,,,11,2022
,,,,12,2022
